CERTI,FROM CTS,TO CTS,COLOR,CLARITY,FLR,%
GIA,0.9,0.94,F,VVS1,NON,49
GIA,0.9,0.94,F,VVS2,NON,49
GIA,0.9,0.94,F,VS1,NON,47
GIA,0.9,0.94,F,VS2,NON,47
GIA,0.9,0.94,F,SI1,NON,49
GIA,0.9,0.94,F,SI2,NON,49
GIA,0.9,0.94,G,IF,NON,50
GIA,0.9,0.94,G,VVS1,NON,49
GIA,0.9,0.94,G,VVS2,NON,49
GIA,0.9,0.94,G,VS1,NON,47
GIA,0.9,0.94,G,VS2,NON,47
GIA,0.9,0.94,G,SI1,NON,49
GIA,0.9,0.94,G,SI2,NON,49
GIA,0.9,0.94,H,IF,NON,50
GIA,0.9,0.94,H,VVS1,NON,49
GIA,0.9,0.94,H,VVS2,NON,49
GIA,0.9,0.94,H,VS1,NON,47
GIA,0.9,0.94,H,VS2,NON,47
GIA,0.9,0.94,H,SI1,NON,49
GIA,0.9,0.94,H,SI2,NON,49
GIA,0.9,0.94,I,IF,NON,50
GIA,0.9,0.94,I,VVS1,NON,49
GIA,0.9,0.94,I,VVS2,NON,49
GIA,0.9,0.94,I,VS1,NON,47
GIA,0.9,0.94,I,VS2,NON,47
GIA,0.9,0.94,I,SI1,NON,49
GIA,0.9,0.94,I,SI2,NON,49
GIA,0.9,0.94,J,IF,NON,50
GIA,0.9,0.94,J,VVS1,NON,49
GIA,0.9,0.94,J,VVS2,NON,49
GIA,0.9,0.94,J,VS1,NON,47
GIA,0.9,0.94,J,VS2,NON,47
GIA,0.9,0.94,J,SI1,NON,49
GIA,0.9,0.94,J,SI2,NON,49
GIA,0.95,0.99,D,IF,NON,46
GIA,0.95,0.99,D,VVS1,NON,44
GIA,0.95,0.99,D,VVS2,NON,44
GIA,0.95,0.99,D,VS1,NON,42
GIA,0.95,0.99,D,VS2,NON,42
GIA,0.95,0.99,D,SI1,NON,45
GIA,0.95,0.99,D,SI2,NON,45
GIA,0.95,0.99,E,IF,NON,46
GIA,0.95,0.99,E,VVS1,NON,44
GIA,0.95,0.99,E,VVS2,NON,44
GIA,0.95,0.99,E,VS1,NON,42
GIA,0.95,0.99,E,VS2,NON,42
GIA,0.95,0.99,E,SI1,NON,45
GIA,0.95,0.99,E,SI2,NON,45
GIA,0.95,0.99,F,IF,NON,46
GIA,0.95,0.99,F,VVS1,NON,44
GIA,0.95,0.99,F,VVS2,NON,44
GIA,0.95,0.99,F,VS1,NON,42
GIA,0.95,0.99,F,VS2,NON,42
GIA,0.95,0.99,F,SI1,NON,45
GIA,0.95,0.99,F,SI2,NON,45
GIA,0.95,0.99,G,IF,NON,46
GIA,0.95,0.99,G,VVS1,NON,44
GIA,0.95,0.99,G,VVS2,NON,44
GIA,0.95,0.99,G,VS1,NON,42
GIA,0.95,0.99,G,VS2,NON,42
GIA,0.95,0.99,G,SI1,NON,45
GIA,0.95,0.99,G,SI2,NON,45
GIA,0.95,0.99,H,IF,NON,46
GIA,0.95,0.99,H,VVS1,NON,44
GIA,0.95,0.99,H,VVS2,NON,44
GIA,0.95,0.99,H,VS1,NON,42
GIA,0.95,0.99,H,VS2,NON,42
GIA,0.95,0.99,H,SI1,NON,45
GIA,0.95,0.99,H,SI2,NON,45
GIA,0.95,0.99,I,IF,NON,46
GIA,0.95,0.99,I,VVS1,NON,44
GIA,0.95,0.99,I,VVS2,NON,44
GIA,0.95,0.99,I,VS1,NON,42
GIA,0.95,0.99,I,VS2,NON,42
GIA,0.95,0.99,I,SI1,NON,45
GIA,0.95,0.99,I,SI2,NON,45
GIA,0.95,0.99,J,IF,NON,46
GIA,0.95,0.99,J,VVS1,NON,44
GIA,0.95,0.99,J,VVS2,NON,44
GIA,0.95,0.99,J,VS1,NON,42
GIA,0.95,0.99,J,VS2,NON,42
GIA,0.95,0.99,J,SI1,NON,45
GIA,0.95,0.99,J,SI2,NON,45
GIA,1,1.19,D,IF,NON,50
GIA,1,1.19,D,VVS1,NON,48
GIA,1,1.19,D,VVS2,NON,48
GIA,1,1.19,D,VS1,NON,47
GIA,1,1.19,D,VS2,NON,47
GIA,1,1.19,D,SI1,NON,49
GIA,1,1.19,D,SI2,NON,49
GIA,1,1.19,E,IF,NON,50
GIA,1,1.19,E,VVS1,NON,48
GIA,1,1.19,E,VVS2,NON,48
GIA,1,1.19,E,VS1,NON,47
GIA,1,1.19,E,VS2,NON,47
GIA,1,1.19,E,SI1,NON,49
GIA,1,1.19,E,SI2,NON,49
GIA,1,1.19,F,IF,NON,50
GIA,1,1.19,F,VVS1,NON,48
GIA,1,1.19,F,VVS2,NON,48
GIA,1,1.19,F,VS1,NON,47
GIA,1,1.19,F,VS2,NON,47
GIA,1,1.19,F,SI1,NON,49
GIA,1,1.19,F,SI2,NON,49
GIA,1,1.19,G,IF,NON,50
GIA,1,1.19,G,VVS1,NON,48
GIA,1,1.19,G,VVS2,NON,48
GIA,1,1.19,G,VS1,NON,47
GIA,1,1.19,G,VS2,NON,47
GIA,1,1.19,G,SI1,NON,49
GIA,1,1.19,G,SI2,NON,49
GIA,1,1.19,H,IF,NON,50
GIA,1,1.19,H,VVS1,NON,48
GIA,1,1.19,H,VVS2,NON,48
GIA,1,1.19,H,VS1,NON,47
GIA,1,1.19,H,VS2,NON,47
GIA,1,1.19,H,SI1,NON,49
GIA,1,1.19,H,SI2,NON,49
GIA,1,1.19,I,IF,NON,50
GIA,1,1.19,I,VVS1,NON,48
GIA,1,1.19,I,VVS2,NON,48
GIA,1,1.19,I,VS1,NON,47
GIA,1,1.19,I,VS2,NON,47
GIA,1,1.19,I,SI1,NON,49
GIA,1,1.19,I,SI2,NON,49
GIA,1,1.19,J,IF,NON,50
GIA,1,1.19,J,VVS1,NON,48
GIA,1,1.19,J,VVS2,NON,48
GIA,1,1.19,J,VS1,NON,47
GIA,1,1.19,J,VS2,NON,47
GIA,1,1.19,J,SI1,NON,49
GIA,1,1.19,J,SI2,NON,49
GIA,1.2,1.29,D,IF,NON,49
GIA,1.2,1.29,D,VVS1,NON,45
GIA,1.2,1.29,D,VVS2,NON,45
GIA,1.2,1.29,D,VS1,NON,44
GIA,1.2,1.29,D,VS2,NON,44
GIA,1.2,1.29,D,SI1,NON,45
GIA,1.2,1.29,D,SI2,NON,45
GIA,1.2,1.29,E,IF,NON,49
GIA,1.2,1.29,E,VVS1,NON,45
GIA,1.2,1.29,E,VVS2,NON,45
GIA,1.2,1.29,E,VS1,NON,44
GIA,1.2,1.29,E,VS2,NON,44
GIA,1.2,1.29,E,SI1,NON,45
GIA,1.2,1.29,E,SI2,NON,45
GIA,1.2,1.29,F,IF,NON,48
GIA,1.2,1.29,F,VVS1,NON,45
GIA,1.2,1.29,F,VVS2,NON,45
GIA,1.2,1.29,F,VS1,NON,44
GIA,1.2,1.29,F,VS2,NON,44
GIA,1.2,1.29,F,SI1,NON,45
GIA,1.2,1.29,F,SI2,NON,45
GIA,1.2,1.29,G,IF,NON,48
GIA,1.2,1.29,G,VVS1,NON,45
GIA,1.2,1.29,G,VVS2,NON,45
GIA,1.2,1.29,G,VS1,NON,44
GIA,1.2,1.29,G,VS2,NON,44
GIA,1.2,1.29,G,SI1,NON,45
GIA,1.2,1.29,G,SI2,NON,45
GIA,1.2,1.29,H,IF,NON,48
GIA,1.2,1.29,H,VVS1,NON,45
GIA,1.2,1.29,H,VVS2,NON,45
GIA,1.2,1.29,H,VS1,NON,44
GIA,1.2,1.29,H,VS2,NON,44
GIA,1.2,1.29,H,SI1,NON,45
GIA,1.2,1.29,H,SI2,NON,45
GIA,1.2,1.29,I,IF,NON,48
GIA,1.2,1.29,I,VVS1,NON,45
GIA,1.2,1.29,I,VVS2,NON,45
GIA,1.2,1.29,I,VS1,NON,44
GIA,1.2,1.29,I,VS2,NON,44
GIA,1.2,1.29,I,SI1,NON,45
GIA,1.2,1.29,I,SI2,NON,45
GIA,1.2,1.29,J,IF,NON,48
GIA,1.2,1.29,J,VVS1,NON,45
GIA,1.2,1.29,J,VVS2,NON,45
GIA,1.2,1.29,J,VS1,NON,44
GIA,1.2,1.29,J,VS2,NON,44
GIA,1.2,1.29,J,SI1,NON,45
GIA,1.2,1.29,J,SI2,NON,45
GIA,1.3,1.39,D,IF,NON,48
GIA,1.3,1.39,D,VVS1,NON,42
GIA,1.3,1.39,D,VVS2,NON,42
GIA,1.3,1.39,D,VS1,NON,40
GIA,1.3,1.39,D,VS2,NON,40
GIA,1.3,1.39,D,SI1,NON,42
GIA,1.3,1.39,D,SI2,NON,42
GIA,1.3,1.39,E,IF,NON,48
GIA,1.3,1.39,E,VVS1,NON,42
GIA,1.3,1.39,E,VVS2,NON,42
GIA,1.3,1.39,E,VS1,NON,40
GIA,1.3,1.39,E,VS2,NON,40
GIA,1.3,1.39,E,SI1,NON,42
GIA,1.3,1.39,E,SI2,NON,42
GIA,1.3,1.39,F,IF,NON,43
GIA,1.3,1.39,F,VVS1,NON,39
GIA,1.3,1.39,F,VVS2,NON,39
GIA,1.3,1.39,F,VS1,NON,40
GIA,1.3,1.39,F,VS2,NON,40
GIA,1.3,1.39,F,SI1,NON,42
GIA,1.3,1.39,F,SI2,NON,42
GIA,1.3,1.39,G,IF,NON,43
GIA,1.3,1.39,G,VVS1,NON,39
GIA,1.3,1.39,G,VVS2,NON,39
GIA,1.3,1.39,G,VS1,NON,40
GIA,1.3,1.39,G,VS2,NON,40
GIA,1.3,1.39,G,SI1,NON,42
GIA,1.3,1.39,G,SI2,NON,42
GIA,1.3,1.39,H,IF,NON,43
GIA,1.3,1.39,H,VVS1,NON,39
GIA,1.3,1.39,H,VVS2,NON,39
GIA,1.3,1.39,H,VS1,NON,40
GIA,1.3,1.39,H,VS2,NON,40
GIA,1.3,1.39,H,SI1,NON,42
GIA,1.3,1.39,H,SI2,NON,42
GIA,1.3,1.39,I,IF,NON,43
GIA,1.3,1.39,I,VVS1,NON,39
GIA,1.3,1.39,I,VVS2,NON,39
GIA,1.3,1.39,I,VS1,NON,40
GIA,1.3,1.39,I,VS2,NON,40
GIA,1.3,1.39,I,SI1,NON,42
GIA,1.3,1.39,I,SI2,NON,42
GIA,1.3,1.39,J,IF,NON,43
GIA,1.3,1.39,J,VVS1,NON,39
GIA,1.3,1.39,J,VVS2,NON,39
GIA,1.3,1.39,J,VS1,NON,40
GIA,1.3,1.39,J,VS2,NON,40
GIA,1.3,1.39,J,SI1,NON,42
GIA,1.3,1.39,J,SI2,NON,42
GIA,1.4,1.49,D,IF,NON,38
GIA,1.4,1.49,D,VVS1,NON,33
GIA,1.4,1.49,D,VVS2,NON,33
GIA,1.4,1.49,D,VS1,NON,34
GIA,1.4,1.49,D,VS2,NON,34
GIA,1.4,1.49,D,SI1,NON,38
GIA,1.4,1.49,D,SI2,NON,38
GIA,1.4,1.49,E,IF,NON,38
GIA,1.4,1.49,E,VVS1,NON,33
GIA,1.4,1.49,E,VVS2,NON,33
GIA,1.4,1.49,E,VS1,NON,34
GIA,1.4,1.49,E,VS2,NON,34
GIA,1.4,1.49,E,SI1,NON,38
GIA,1.4,1.49,E,SI2,NON,38
GIA,1.4,1.49,F,IF,NON,30
GIA,1.4,1.49,F,VVS1,NON,29
GIA,1.4,1.49,F,VVS2,NON,29
GIA,1.4,1.49,F,VS1,NON,32
GIA,1.4,1.49,F,VS2,NON,32
GIA,1.4,1.49,F,SI1,NON,38
GIA,1.4,1.49,F,SI2,NON,38
GIA,1.4,1.49,G,IF,NON,30
GIA,1.4,1.49,G,VVS1,NON,29
GIA,1.4,1.49,G,VVS2,NON,29
GIA,1.4,1.49,G,VS1,NON,32
GIA,1.4,1.49,G,VS2,NON,32
GIA,1.4,1.49,G,SI1,NON,38
GIA,1.4,1.49,G,SI2,NON,38
GIA,1.4,1.49,H,IF,NON,30
GIA,1.4,1.49,H,VVS1,NON,29
GIA,1.4,1.49,H,VVS2,NON,29
GIA,1.4,1.49,H,VS1,NON,32
GIA,1.4,1.49,H,VS2,NON,32
GIA,1.4,1.49,H,SI1,NON,38
GIA,1.4,1.49,H,SI2,NON,38
GIA,1.4,1.49,I,IF,NON,30
GIA,1.4,1.49,I,VVS1,NON,29
GIA,1.4,1.49,I,VVS2,NON,29
GIA,1.4,1.49,I,VS1,NON,32
GIA,1.4,1.49,I,VS2,NON,32
GIA,1.4,1.49,I,SI1,NON,38
GIA,1.4,1.49,I,SI2,NON,38
GIA,1.4,1.49,J,IF,NON,30
GIA,1.4,1.49,J,VVS1,NON,29
GIA,1.4,1.49,J,VVS2,NON,29
GIA,1.4,1.49,J,VS1,NON,32
GIA,1.4,1.49,J,VS2,NON,32
GIA,1.4,1.49,J,SI1,NON,38
GIA,1.4,1.49,J,SI2,NON,38
GIA,1.5,1.69,D,IF,NON,50
GIA,1.5,1.69,D,VVS1,NON,48
GIA,1.5,1.69,D,VVS2,NON,48
GIA,1.5,1.69,D,VS1,NON,47
GIA,1.5,1.69,D,VS2,NON,47
GIA,1.5,1.69,D,SI1,NON,49
GIA,1.5,1.69,D,SI2,NON,49
GIA,1.5,1.69,E,IF,NON,50
GIA,1.5,1.69,E,VVS1,NON,48
GIA,1.5,1.69,E,VVS2,NON,48
GIA,1.5,1.69,E,VS1,NON,47
GIA,1.5,1.69,E,VS2,NON,47
GIA,1.5,1.69,E,SI1,NON,49
GIA,1.5,1.69,E,SI2,NON,49
GIA,1.5,1.69,F,IF,NON,50
GIA,1.5,1.69,F,VVS1,NON,48
GIA,1.5,1.69,F,VVS2,NON,48
GIA,1.5,1.69,F,VS1,NON,47
GIA,1.5,1.69,F,VS2,NON,47
GIA,1.5,1.69,F,SI1,NON,49
GIA,1.5,1.69,F,SI2,NON,49
GIA,1.5,1.69,G,IF,NON,50
GIA,1.5,1.69,G,VVS1,NON,48
GIA,1.5,1.69,G,VVS2,NON,48
GIA,1.5,1.69,G,VS1,NON,47
GIA,1.5,1.69,G,VS2,NON,47
GIA,1.5,1.69,G,SI1,NON,49
GIA,1.5,1.69,G,SI2,NON,49
GIA,1.5,1.69,H,IF,NON,50
GIA,1.5,1.69,H,VVS1,NON,48
GIA,1.5,1.69,H,VVS2,NON,48
GIA,1.5,1.69,H,VS1,NON,47
GIA,1.5,1.69,H,VS2,NON,47
GIA,1.5,1.69,H,SI1,NON,49
GIA,1.5,1.69,H,SI2,NON,49
GIA,1.5,1.69,I,IF,NON,50
GIA,1.5,1.69,I,VVS1,NON,48
GIA,1.5,1.69,I,VVS2,NON,48
GIA,1.5,1.69,I,VS1,NON,47
GIA,1.5,1.69,I,VS2,NON,47
GIA,1.5,1.69,I,SI1,NON,49
GIA,1.5,1.69,I,SI2,NON,49
GIA,1.5,1.69,J,IF,NON,50
GIA,1.5,1.69,J,VVS1,NON,48
GIA,1.5,1.69,J,VVS2,NON,48
GIA,1.5,1.69,J,VS1,NON,47
GIA,1.5,1.69,J,VS2,NON,47
GIA,1.5,1.69,J,SI1,NON,49
GIA,1.5,1.69,J,SI2,NON,49
GIA,1.7,1.79,D,IF,NON,48
GIA,1.7,1.79,D,VVS1,NON,45
GIA,1.7,1.79,D,VVS2,NON,45
GIA,1.7,1.79,D,VS1,NON,42
GIA,1.7,1.79,D,VS2,NON,42
GIA,1.7,1.79,D,SI1,NON,46
GIA,1.7,1.79,D,SI2,NON,46
GIA,1.7,1.79,E,IF,NON,48
GIA,1.7,1.79,E,VVS1,NON,45
GIA,1.7,1.79,E,VVS2,NON,45
GIA,1.7,1.79,E,VS1,NON,42
GIA,1.7,1.79,E,VS2,NON,42
GIA,1.7,1.79,E,SI1,NON,46
GIA,1.7,1.79,E,SI2,NON,46
GIA,1.7,1.79,F,IF,NON,48
GIA,1.7,1.79,F,VVS1,NON,44
GIA,1.7,1.79,F,VVS2,NON,44
GIA,1.7,1.79,F,VS1,NON,42
GIA,1.7,1.79,F,VS2,NON,42
GIA,1.7,1.79,F,SI1,NON,46
GIA,1.7,1.79,F,SI2,NON,46
GIA,1.7,1.79,G,IF,NON,47
GIA,1.7,1.79,G,VVS1,NON,44
GIA,1.7,1.79,G,VVS2,NON,44
GIA,1.7,1.79,G,VS1,NON,42
GIA,1.7,1.79,G,VS2,NON,42
GIA,1.7,1.79,G,SI1,NON,46
