SHAPE,FROM CTS,TO CTS,COLOR,CLARITY,CUT,PRICE,DATE
RO,0.04,0.07,E,SI3,EX,530, 8/30/2024
RO,0.04,0.07,E,I1,EX,480, 8/30/2024
RO,0.04,0.07,E,I2,EX,400, 8/30/2024
RO,0.04,0.07,E,I3,EX,310, 8/30/2024
RO,0.04,0.07,F,IF,EX,950, 8/30/2024
RO,0.04,0.07,F,VVS1,EX,950, 8/30/2024
RO,0.04,0.07,F,VVS2,EX,950, 8/30/2024
RO,0.04,0.07,F,VS1,EX,830, 8/30/2024
RO,0.04,0.07,F,VS2,EX,830, 8/30/2024
RO,0.04,0.07,F,SI1,EX,720, 8/30/2024
RO,0.04,0.07,F,SI2,EX,620, 8/30/2024
RO,0.04,0.07,F,SI3,EX,530, 8/30/2024
RO,0.04,0.07,F,I1,EX,480, 8/30/2024
RO,0.04,0.07,F,I2,EX,400, 8/30/2024
RO,0.04,0.07,F,I3,EX,310, 8/30/2024
RO,0.04,0.07,G,IF,EX,770, 8/30/2024
RO,0.04,0.07,G,VVS1,EX,770, 8/30/2024
RO,0.04,0.07,G,VVS2,EX,770, 8/30/2024
RO,0.04,0.07,G,VS1,EX,690, 8/30/2024
RO,0.04,0.07,G,VS2,EX,690, 8/30/2024
RO,0.04,0.07,G,SI1,EX,620, 8/30/2024
RO,0.04,0.07,G,SI2,EX,550, 8/30/2024
RO,0.04,0.07,G,SI3,EX,490, 8/30/2024
RO,0.04,0.07,G,I1,EX,440, 8/30/2024
RO,0.04,0.07,G,I2,EX,360, 8/30/2024
RO,0.04,0.07,G,I3,EX,280, 8/30/2024
RO,0.04,0.07,H,IF,EX,770, 8/30/2024
RO,0.04,0.07,H,VVS1,EX,770, 8/30/2024
RO,0.04,0.07,H,VVS2,EX,770, 8/30/2024
RO,0.04,0.07,H,VS1,EX,690, 8/30/2024
RO,0.04,0.07,H,VS2,EX,690, 8/30/2024
RO,0.04,0.07,H,SI1,EX,620, 8/30/2024
RO,0.04,0.07,H,SI2,EX,550, 8/30/2024
RO,0.04,0.07,H,SI3,EX,490, 8/30/2024
RO,0.04,0.07,H,I1,EX,440, 8/30/2024
RO,0.04,0.07,H,I2,EX,360, 8/30/2024
RO,0.04,0.07,H,I3,EX,280, 8/30/2024
RO,0.04,0.07,I,IF,EX,680, 8/30/2024
RO,0.04,0.07,I,VVS1,EX,680, 8/30/2024
RO,0.04,0.07,I,VVS2,EX,680, 8/30/2024
RO,0.04,0.07,I,VS1,EX,620, 8/30/2024
RO,0.04,0.07,I,VS2,EX,620, 8/30/2024
RO,0.04,0.07,I,SI1,EX,570, 8/30/2024
RO,0.04,0.07,I,SI2,EX,510, 8/30/2024
RO,0.04,0.07,I,SI3,EX,450, 8/30/2024
RO,0.04,0.07,I,I1,EX,400, 8/30/2024
RO,0.04,0.07,I,I2,EX,320, 8/30/2024
RO,0.04,0.07,I,I3,EX,260, 8/30/2024
RO,0.04,0.07,J,IF,EX,680, 8/30/2024
RO,0.04,0.07,J,VVS1,EX,680, 8/30/2024
RO,0.04,0.07,J,VVS2,EX,680, 8/30/2024
RO,0.04,0.07,J,VS1,EX,620, 8/30/2024
RO,0.04,0.07,J,VS2,EX,620, 8/30/2024
RO,0.04,0.07,J,SI1,EX,570, 8/30/2024
RO,0.04,0.07,J,SI2,EX,510, 8/30/2024
RO,0.04,0.07,J,SI3,EX,450, 8/30/2024
RO,0.04,0.07,J,I1,EX,400, 8/30/2024
RO,0.04,0.07,J,I2,EX,320, 8/30/2024
RO,0.04,0.07,J,I3,EX,260, 8/30/2024
RO,0.04,0.07,K,IF,EX,470, 8/30/2024
RO,0.04,0.07,K,VVS1,EX,470, 8/30/2024
RO,0.04,0.07,K,VVS2,EX,470, 8/30/2024
RO,0.04,0.07,K,VS1,EX,420, 8/30/2024
RO,0.04,0.07,K,VS2,EX,420, 8/30/2024
RO,0.04,0.07,K,SI1,EX,380, 8/30/2024
RO,0.04,0.07,K,SI2,EX,340, 8/30/2024
RO,0.04,0.07,K,SI3,EX,310, 8/30/2024
RO,0.04,0.07,K,I1,EX,270, 8/30/2024
RO,0.04,0.07,K,I2,EX,220, 8/30/2024
